Project Name;Checkpoint Name;Created On;File Name;Lines;Statements;Percent Branch Statements;Method Call Statements;Percent Lines with Comments;Classes and Interfaces;Methods per Class;Average Statements per Method;Line Number of Most Complex Method*;Name of Most Complex Method*;Maximum Complexity*;Line Number of Deepest Block;Maximum Block Depth;Average Block Depth;Average Complexity*;Statements at block level 0;Statements at block level 1;Statements at block level 2;Statements at block level 3;Statements at block level 4;Statements at block level 5;Statements at block level 6;Statements at block level 7;Statements at block level 8;Statements at block level 9
petfinder;PFBaseline;18 Nov 2014;java files\client\AddPetPage.java;161;100;2.0;81;3.7;4;1.00;17.50;48;?(instance of ClickHandler).onClick();1;49;4;1.76;1.00;17;16;47;21;2;0;0;0;0;0
petfinder;PFBaseline;18 Nov 2014;java files\client\AdminPanel.java;190;119;5.0;84;2.6;8;1.75;6.50;69;AdminPanel.AdminPanel();6;90;7;2.97;1.93;18;15;25;10;25;25;2;6;0;0
petfinder;PFBaseline;18 Nov 2014;java files\client\AnimalService.java;33;16;0.0;0;6.1;1;9.00;0.00;;;0;13;1;0.56;0.00;7;9;0;0;0;0;0;0;0;0
petfinder;PFBaseline;18 Nov 2014;java files\client\AnimalServiceAsync.java;31;14;0.0;0;6.5;1;9.00;0.00;;;0;11;1;0.64;0.00;5;9;0;0;0;0;0;0;0;0
petfinder;PFBaseline;18 Nov 2014;java files\client\BrowsePage.java;248;170;4.1;142;3.2;8;1.63;10.15;39;BrowsePage.BrowsePage();6;153;5;2.34;1.77;21;24;64;29;20;19;0;0;0;0
petfinder;PFBaseline;18 Nov 2014;java files\client\DefaultLoggedInPage.java;275;139;0.7;109;18.5;10;1.50;6.60;35;DefaultLoggedInPage.DefaultLoggedInPage();2;136;4;1.76;1.07;17;28;81;13;7;0;0;0;0;0
petfinder;PFBaseline;18 Nov 2014;java files\client\DefaultPage.java;189;97;0.0;80;18.0;8;1.38;6.45;64;?(instance of ClickHandler).onClick();1;65;4;1.79;1.00;13;16;57;11;5;0;0;0;0;0
petfinder;PFBaseline;18 Nov 2014;java files\client\LoginPage.java;176;106;5.7;53;8.0;6;2.00;6.08;90;LoginPage.goLogin();5;67;5;2.08;1.83;17;21;36;20;7;10;0;0;0;0
petfinder;PFBaseline;18 Nov 2014;java files\client\MappingPage.java;140;107;3.7;82;4.3;3;1.33;16.75;45;MappingPage.MappingPage();5;103;5;1.91;2.50;27;15;45;2;3;17;0;0;0;0
petfinder;PFBaseline;18 Nov 2014;java files\client\NotLoggedInException.java;13;7;0.0;2;0.0;1;2.00;1.00;6;NotLoggedInException.NotLoggedInException();1;7;2;0.86;1.00;3;2;2;0;0;0;0;0;0;0
petfinder;PFBaseline;18 Nov 2014;java files\client\OwnerPanel.java;5;2;0.0;0;0.0;1;0.00;0.00;;;0;1;0;0.00;0.00;2;0;0;0;0;0;0;0;0;0
petfinder;PFBaseline;18 Nov 2014;java files\client\PetFinder.java;94;19;0.0;8;59.6;2;1.50;3.00;32;PetFinder.onModuleLoad();1;32;3;1.20;1.00;7;4;7;2;0;0;0;0;0;0
petfinder;PFBaseline;18 Nov 2014;java files\client\RegisterPage.java;193;109;9.2;58;3.6;8;1.75;5.50;151;RegisterPage.registerUser();9;136;6;2.13;2.14;17;22;41;16;9;7;4;0;0;0
petfinder;PFBaseline;18 Nov 2014;java files\client\SearchPage.java;301;204;3.9;165;2.3;10;1.60;9.69;50;SearchPage.callSearch();4;162;5;2.29;1.69;26;32;76;33;26;20;0;0;0;0
petfinder;PFBaseline;18 Nov 2014;java files\client\UserControlPanel.java;213;126;4.0;94;6.1;9;1.89;5.71;65;UserControlPanel.UserControlPanel();6;121;8;3.37;1.59;16;18;30;8;9;13;34;3;3;0
petfinder;PFBaseline;18 Nov 2014;java files\client\UserService.java;13;8;0.0;0;0.0;1;2.00;0.00;;;0;10;1;0.25;0.00;6;2;0;0;0;0;0;0;0;0
petfinder;PFBaseline;18 Nov 2014;java files\client\UserServiceAsync.java;11;6;0.0;0;0.0;1;2.00;0.00;;;0;8;1;0.33;0.00;4;2;0;0;0;0;0;0;0;0
petfinder;PFBaseline;18 Nov 2014;java files\server\AnimalRegistry.java;91;49;10.2;18;13.2;1;7.00;3.71;45;AnimalRegistry.fetchUpdate();5;56;4;1.67;1.71;11;12;12;10;4;0;0;0;0;0
petfinder;PFBaseline;18 Nov 2014;java files\server\AnimalRegistryTest.java;16;10;0.0;15;0.0;1;1.00;7.00;4;AnimalRegistryTest.main();1;6;2;1.50;1.00;2;1;7;0;0;0;0;0;0;0
petfinder;PFBaseline;18 Nov 2014;java files\server\AnimalServiceImpl.java;165;92;5.4;64;7.9;1;11.00;5.73;130;AnimalServiceImpl.searchTags();5;145;6;1.68;1.45;17;12;53;6;2;1;1;0;0;0
petfinder;PFBaseline;18 Nov 2014;java files\server\Parser.java;131;55;21.8;66;28.2;1;5.00;7.60;80;Parser.endElement();12;105;5;2.22;3.40;6;11;17;13;2;6;0;0;0;0
petfinder;PFBaseline;18 Nov 2014;java files\server\UserServiceImpl.java;50;26;3.8;10;4.0;1;3.00;4.67;27;UserServiceImpl.getUser();2;33;3;1.35;1.33;8;4;11;3;0;0;0;0;0;0
petfinder;PFBaseline;18 Nov 2014;java files\shared\Animal.java;123;81;0.0;20;0.8;1;22.00;1.64;41;Animal.getAddress();1;41;2;1.31;1.00;11;34;36;0;0;0;0;0;0;0
petfinder;PFBaseline;18 Nov 2014;java files\shared\CronTimes.java;32;18;0.0;1;0.0;1;3.00;1.00;20;CronTimes.getLastUpdate();1;21;2;0.61;1.00;10;5;3;0;0;0;0;0;0;0
petfinder;PFBaseline;18 Nov 2014;java files\shared\FieldVerifier.java;42;6;16.7;1;73.8;1;1.00;3.00;36;FieldVerifier.isValidName();2;38;3;1.33;2.00;2;1;2;1;0;0;0;0;0;0
petfinder;PFBaseline;18 Nov 2014;java files\shared\User.java;66;37;0.0;1;3.0;1;10.00;1.30;24;User.isOwner();1;25;2;1.11;1.00;9;15;13;0;0;0;0;0;0;0
